TOTAL	consts	13905
TOTAL	const_rej	7232
TOTAL	thms	150439
TOTAL	thm_rej	58260
CONST	inst_infix	HOL-Analysis.Abstract_Metric_Spaces	1
CONST	inst_infix	HOL-Analysis.Complex_Transcendental	1
CONST	inst_infix	HOL.Conditionally_Complete_Lattices	4
CONST	inst_infix	Landau_Symbols.Landau_Real_Products	11
CONST	inst_infix	Pratt_Certificate.Pratt_Certificate	17
CONST	sumC_graph	HOL-Probability.Random_Permutations	2
CONST	sumC_graph	IsaGeoCoq.Tarski_Neutral_Archimedes	6
CONST	sumC_graph	Landau_Symbols.Landau_Real_Products	13
CONST	sumC_graph	Pratt_Certificate.Pratt_Certificate	9
CONST	class_infix	HOL.Conditionally_Complete_Lattices	2
CONST	class_pred	HOL-Analysis.Ordered_Euclidean_Space	1
CONST	class_pred	HOL-Computational_Algebra.Polynomial	2
CONST	class_variant	HOL-Analysis.Extended_Real_Limits	1
CONST	concealed	Polynomial_Factorization.Missing_List	24
CONST	inst_infix	HOL-Analysis.Bounded_Linear_Function	12
CONST	inst_infix	HOL-Analysis.Ordered_Euclidean_Space	6
CONST	inst_infix	HOL-Computational_Algebra.Polynomial	22
CONST	sumC_graph	HOL-Computational_Algebra.Nth_Powers	1
CONST	sumC_graph	HOL-Computational_Algebra.Polynomial	11
CONST	sumC_graph	Jordan_Normal_Form.Column_Operations	2
CONST	class_infix	HOL-Analysis.Ordered_Euclidean_Space	1
CONST	class_infix	HOL-Computational_Algebra.Polynomial	2
CONST	class_pred	HOL-Analysis.Elementary_Metric_Spaces	1
CONST	class_variant	HOL-Decision_Procs.Polynomial_List	15
CONST	infra_theory	HOL-Decision_Procs.Commutative_Ring	94
CONST	infra_theory	HOL-Decision_Procs.Reflective_Field	76
CONST	inst_infix	HOL-Analysis.Finite_Cartesian_Product	17
CONST	inst_infix	HOL-Library.Extended_Nonnegative_Real	19
CONST	sumC_graph	Polynomial_Factorization.Missing_List	11
CONST	class_infix	HOL-Analysis.Elementary_Metric_Spaces	1
CONST	class_pred	Polynomial_Interpolation.Is_Rat_To_Rat	1
CONST	class_variant	HOL.Conditionally_Complete_Lattices	2
CONST	concealed	Continued_Fractions.Continued_Fractions	30
CONST	concealed	Descartes_Sign_Rule.Descartes_Sign_Rule	2
CONST	concealed	HOL-Combinatorics.Multiset_Permutations	8
CONST	concealed	HOL-Decision_Procs.Approximation_Bounds	20
CONST	infra_theory	HOL-Real_Asymp.Multiseries_Expansion	158
CONST	inst_infix	Polynomial_Interpolation.Is_Rat_To_Rat	6
CONST	class_infix	Polynomial_Interpolation.Is_Rat_To_Rat	1
CONST	class_pred	HOL-Library.Countable_Complete_Lattices	2
CONST	infra_theory	HOL-Decision_Procs.Dense_Linear_Order	10
CONST	inst_infix	Continued_Fractions.Continued_Fractions	11
CONST	inst_infix	HOL-Computational_Algebra.Field_as_Ring	27
CONST	sumC_graph	Continued_Fractions.Continued_Fractions	6
CONST	sumC_graph	Descartes_Sign_Rule.Descartes_Sign_Rule	1
CONST	sumC_graph	HOL-Combinatorics.Multiset_Permutations	4
